locus_tag	ftype	length_bp	gene	EC_number	COG	product
KNDGMFLB_00001	CDS	828				hypothetical protein
KNDGMFLB_00002	CDS	282				hypothetical protein
KNDGMFLB_00003	CDS	156				hypothetical protein
KNDGMFLB_00004	CDS	216				hypothetical protein
KNDGMFLB_00005	CDS	588	tdk_1	2.7.1.21		Thymidine kinase
KNDGMFLB_00006	CDS	522				hypothetical protein
KNDGMFLB_00007	CDS	864				hypothetical protein
KNDGMFLB_00008	CDS	1917	gyrB_1	5.6.2.2		DNA gyrase subunit B
KNDGMFLB_00009	CDS	1995	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
KNDGMFLB_00010	CDS	897	traC	2.7.7.-		DNA primase TraC
KNDGMFLB_00011	CDS	294				hypothetical protein
KNDGMFLB_00012	CDS	222				hypothetical protein
KNDGMFLB_00013	CDS	459				hypothetical protein
KNDGMFLB_00014	CDS	276				hypothetical protein
KNDGMFLB_00015	CDS	138				hypothetical protein
KNDGMFLB_00016	CDS	330				hypothetical protein
KNDGMFLB_00017	CDS	279				hypothetical protein
KNDGMFLB_00018	CDS	867				hypothetical protein
KNDGMFLB_00019	CDS	180				hypothetical protein
KNDGMFLB_00020	CDS	624				hypothetical protein
KNDGMFLB_00021	CDS	174				hypothetical protein
KNDGMFLB_00022	CDS	417				hypothetical protein
KNDGMFLB_00023	CDS	1620	yqcG_1	3.1.-.-	COG5444	Ribonuclease YqcG
KNDGMFLB_00024	CDS	978	xerC_1			Tyrosine recombinase XerC
KNDGMFLB_00025	CDS	1317				hypothetical protein
KNDGMFLB_00026	CDS	297				hypothetical protein
KNDGMFLB_00027	CDS	270				hypothetical protein
KNDGMFLB_00028	CDS	207				hypothetical protein
KNDGMFLB_00029	CDS	480				hypothetical protein
KNDGMFLB_00030	CDS	1668				hypothetical protein
KNDGMFLB_00031	CDS	393				hypothetical protein
KNDGMFLB_00032	CDS	2331				hypothetical protein
KNDGMFLB_00033	CDS	1665				hypothetical protein
KNDGMFLB_00034	CDS	5085	smc_1			Chromosome partition protein Smc
KNDGMFLB_00035	CDS	327				hypothetical protein
KNDGMFLB_00036	CDS	651				hypothetical protein
KNDGMFLB_00037	CDS	405				hypothetical protein
KNDGMFLB_00038	CDS	381				hypothetical protein
KNDGMFLB_00039	CDS	339				hypothetical protein
KNDGMFLB_00040	CDS	333				hypothetical protein
KNDGMFLB_00041	CDS	216				hypothetical protein
KNDGMFLB_00042	CDS	1149				hypothetical protein
KNDGMFLB_00043	CDS	942				hypothetical protein
KNDGMFLB_00044	CDS	1380				hypothetical protein
KNDGMFLB_00045	tRNA	74				tRNA-Trp(cca)
KNDGMFLB_00046	tRNA	77				tRNA-Asn(gtt)
KNDGMFLB_00047	CDS	492				hypothetical protein
KNDGMFLB_00048	CDS	180				hypothetical protein
KNDGMFLB_00049	CDS	321				hypothetical protein
KNDGMFLB_00050	CDS	1164	rapI_1	3.1.-.-		Response regulator aspartate phosphatase I
KNDGMFLB_00051	CDS	123				hypothetical protein
KNDGMFLB_00052	CDS	840				hypothetical protein
KNDGMFLB_00053	CDS	300				hypothetical protein
KNDGMFLB_00054	CDS	1281	lig	6.5.1.1		DNA ligase
KNDGMFLB_00055	CDS	522				hypothetical protein
KNDGMFLB_00056	CDS	243				hypothetical protein
KNDGMFLB_00057	CDS	336				hypothetical protein
KNDGMFLB_00058	CDS	564	xerC_2			Tyrosine recombinase XerC
KNDGMFLB_00059	CDS	1035				hypothetical protein
KNDGMFLB_00060	CDS	699				hypothetical protein
KNDGMFLB_00061	CDS	231				hypothetical protein
KNDGMFLB_00062	CDS	525				hypothetical protein
KNDGMFLB_00063	CDS	579				hypothetical protein
KNDGMFLB_00064	CDS	777				hypothetical protein
KNDGMFLB_00065	CDS	330				hypothetical protein
KNDGMFLB_00066	CDS	255				hypothetical protein
KNDGMFLB_00067	CDS	210				hypothetical protein
KNDGMFLB_00068	CDS	966				hypothetical protein
KNDGMFLB_00069	CDS	522				hypothetical protein
KNDGMFLB_00070	CDS	363				hypothetical protein
KNDGMFLB_00071	CDS	240				hypothetical protein
KNDGMFLB_00072	CDS	1035				hypothetical protein
KNDGMFLB_00073	CDS	2370	nrdE_1	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha
KNDGMFLB_00074	CDS	1044	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
KNDGMFLB_00075	CDS	471				hypothetical protein
KNDGMFLB_00076	CDS	156				hypothetical protein
KNDGMFLB_00077	CDS	507				hypothetical protein
KNDGMFLB_00078	CDS	387				hypothetical protein
KNDGMFLB_00079	CDS	1053				hypothetical protein
KNDGMFLB_00080	CDS	489				hypothetical protein
KNDGMFLB_00081	CDS	1593				hypothetical protein
KNDGMFLB_00082	CDS	1041	dnaG_1	2.7.7.-		DNA primase
KNDGMFLB_00083	CDS	204				hypothetical protein
KNDGMFLB_00084	CDS	1752	yorK_1	3.1.-.-	COG0608	Putative SPbeta prophage-derived single-strand DNA-specific exonuclease YorK
KNDGMFLB_00085	CDS	525				hypothetical protein
KNDGMFLB_00086	CDS	459				hypothetical protein
KNDGMFLB_00087	CDS	279				hypothetical protein
KNDGMFLB_00088	CDS	561				hypothetical protein
KNDGMFLB_00089	CDS	789				hypothetical protein
KNDGMFLB_00090	CDS	462				hypothetical protein
KNDGMFLB_00091	CDS	468	rnhA_1	3.1.26.4	COG0328	Ribonuclease H
KNDGMFLB_00092	CDS	237				hypothetical protein
KNDGMFLB_00093	CDS	975	thyX	2.1.1.148		Flavin-dependent thymidylate synthase
KNDGMFLB_00094	CDS	453				hypothetical protein
KNDGMFLB_00095	CDS	3843	dnaE2_1	2.7.7.7		Error-prone DNA polymerase
KNDGMFLB_00096	CDS	600				hypothetical protein
KNDGMFLB_00097	CDS	558				hypothetical protein
KNDGMFLB_00098	CDS	549	gmk_1	2.7.4.8		Guanylate kinase
KNDGMFLB_00099	CDS	297				hypothetical protein
KNDGMFLB_00100	CDS	210				hypothetical protein
KNDGMFLB_00101	CDS	375				hypothetical protein
KNDGMFLB_00102	tRNA	76				tRNA-Ala(tgc)
KNDGMFLB_00103	tRNA	77				tRNA-Ile(gat)
KNDGMFLB_00104	rRNA	89				5S ribosomal RNA (partial)
KNDGMFLB_00105	tRNA	75				tRNA-Asn(gtt)
KNDGMFLB_00106	tRNA	73				tRNA-Thr(ggt)
KNDGMFLB_00107	tRNA	75				tRNA-Gly(gcc)
KNDGMFLB_00108	tRNA	77				tRNA-Arg(acg)
KNDGMFLB_00109	tRNA	77				tRNA-Pro(tgg)
KNDGMFLB_00110	tRNA	77				tRNA-Arg(acg)
KNDGMFLB_00111	CDS	342				hypothetical protein
KNDGMFLB_00112	CDS	291				hypothetical protein
KNDGMFLB_00113	CDS	246				hypothetical protein
KNDGMFLB_00114	CDS	450	sbmC			DNA gyrase inhibitor
KNDGMFLB_00115	CDS	429	yosS	3.6.1.23	COG0756	SPbeta prophage-derived deoxyuridine 5'-triphosphate nucleotidohydrolase YosS
KNDGMFLB_00116	CDS	243	trxA_1		COG0526	Thioredoxin
KNDGMFLB_00117	CDS	372	nrdF_1	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
KNDGMFLB_00118	CDS	522				hypothetical protein
KNDGMFLB_00119	CDS	423	nrdF_2	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
KNDGMFLB_00120	tRNA	75				tRNA-Gly(gcc)
KNDGMFLB_00121	tRNA	86				tRNA-Leu(taa)
KNDGMFLB_00122	rRNA	89				5S ribosomal RNA (partial)
KNDGMFLB_00123	tRNA	77				tRNA-Arg(acg)
KNDGMFLB_00124	tRNA	86				tRNA-Leu(taa)
KNDGMFLB_00125	rRNA	57				5S ribosomal RNA (partial)
KNDGMFLB_00126	rRNA	83				5S ribosomal RNA (partial)
KNDGMFLB_00127	rRNA	111				5S ribosomal RNA
KNDGMFLB_00128	CDS	315	yorD			SPbeta prophage-derived stress response protein SCP1
KNDGMFLB_00129	CDS	381				hypothetical protein
KNDGMFLB_00130	CDS	297				hypothetical protein
KNDGMFLB_00131	CDS	1761				hypothetical protein
KNDGMFLB_00132	CDS	825				hypothetical protein
KNDGMFLB_00133	CDS	396				hypothetical protein
KNDGMFLB_00134	CDS	222				hypothetical protein
KNDGMFLB_00135	CDS	750				hypothetical protein
KNDGMFLB_00136	CDS	228				hypothetical protein
KNDGMFLB_00137	CDS	1329				hypothetical protein
KNDGMFLB_00138	CDS	396				hypothetical protein
KNDGMFLB_00139	CDS	231				hypothetical protein
KNDGMFLB_00140	CDS	252				hypothetical protein
KNDGMFLB_00141	CDS	216				hypothetical protein
KNDGMFLB_00142	CDS	132				hypothetical protein
KNDGMFLB_00143	CDS	591				hypothetical protein
KNDGMFLB_00144	CDS	534				hypothetical protein
KNDGMFLB_00145	CDS	417				hypothetical protein
KNDGMFLB_00146	CDS	1161	yopK			SPbeta prophage-derived uncharacterized protein YopK
KNDGMFLB_00147	CDS	126				hypothetical protein
KNDGMFLB_00148	CDS	201				hypothetical protein
KNDGMFLB_00149	CDS	318				hypothetical protein
KNDGMFLB_00150	CDS	213				hypothetical protein
KNDGMFLB_00151	CDS	1077	xerC_3			Tyrosine recombinase XerC
KNDGMFLB_00152	CDS	1383				hypothetical protein
KNDGMFLB_00153	CDS	978				hypothetical protein
KNDGMFLB_00154	CDS	225				hypothetical protein
KNDGMFLB_00155	CDS	219	yopT			SPbeta prophage-derived uncharacterized protein YopT
KNDGMFLB_00156	CDS	198				hypothetical protein
KNDGMFLB_00157	CDS	195				hypothetical protein
KNDGMFLB_00158	CDS	336				hypothetical protein
KNDGMFLB_00159	CDS	405	yopX			SPbeta prophage-derived uncharacterized protein YopX
KNDGMFLB_00160	CDS	279				hypothetical protein
KNDGMFLB_00161	CDS	204				hypothetical protein
KNDGMFLB_00162	CDS	348				hypothetical protein
KNDGMFLB_00163	CDS	339				hypothetical protein
KNDGMFLB_00164	CDS	408				hypothetical protein
KNDGMFLB_00165	CDS	756				hypothetical protein
KNDGMFLB_00166	CDS	165				hypothetical protein
KNDGMFLB_00167	CDS	204				hypothetical protein
KNDGMFLB_00168	CDS	258				hypothetical protein
KNDGMFLB_00169	CDS	453				hypothetical protein
KNDGMFLB_00170	CDS	195				hypothetical protein
KNDGMFLB_00171	CDS	516				hypothetical protein
KNDGMFLB_00172	CDS	525				hypothetical protein
KNDGMFLB_00173	CDS	279				hypothetical protein
KNDGMFLB_00174	CDS	216				hypothetical protein
KNDGMFLB_00175	CDS	375				hypothetical protein
KNDGMFLB_00176	CDS	342				hypothetical protein
KNDGMFLB_00177	CDS	357				hypothetical protein
KNDGMFLB_00178	CDS	348				hypothetical protein
KNDGMFLB_00179	CDS	150				hypothetical protein
KNDGMFLB_00180	CDS	414				hypothetical protein
KNDGMFLB_00181	CDS	813	ligD		COG1793	Multifunctional non-homologous end joining protein LigD
KNDGMFLB_00182	CDS	456				hypothetical protein
KNDGMFLB_00183	rRNA	894				16S ribosomal RNA (partial)
KNDGMFLB_00184	rRNA	73				5S ribosomal RNA (partial)
KNDGMFLB_00185	tRNA	76				tRNA-Val(tac)
KNDGMFLB_00186	tRNA	76				tRNA-Thr(tgt)
KNDGMFLB_00187	tRNA	76				tRNA-Lys(ttt)
KNDGMFLB_00188	tRNA	83				tRNA-Leu(tag)
KNDGMFLB_00189	tRNA	75				tRNA-Gly(gcc)
KNDGMFLB_00190	tRNA	76				tRNA-Ala(tgc)
KNDGMFLB_00191	tRNA	77				tRNA-Pro(tgg)
KNDGMFLB_00192	CDS	330				hypothetical protein
KNDGMFLB_00193	CDS	1002	xerC_4			Tyrosine recombinase XerC
KNDGMFLB_00194	CDS	429				hypothetical protein
KNDGMFLB_00195	CDS	501				hypothetical protein
KNDGMFLB_00196	CDS	192				hypothetical protein
KNDGMFLB_00197	CDS	351				hypothetical protein
KNDGMFLB_00198	CDS	1218				hypothetical protein
KNDGMFLB_00199	CDS	360				hypothetical protein
KNDGMFLB_00200	CDS	228				hypothetical protein
KNDGMFLB_00201	CDS	510				hypothetical protein
KNDGMFLB_00202	CDS	798				hypothetical protein
KNDGMFLB_00203	CDS	711				hypothetical protein
KNDGMFLB_00204	CDS	507				hypothetical protein
KNDGMFLB_00205	CDS	651				hypothetical protein
KNDGMFLB_00206	CDS	255				hypothetical protein
KNDGMFLB_00207	CDS	396				hypothetical protein
KNDGMFLB_00208	CDS	471				hypothetical protein
KNDGMFLB_00209	CDS	1017				hypothetical protein
KNDGMFLB_00210	CDS	537				hypothetical protein
KNDGMFLB_00211	CDS	1437				hypothetical protein
KNDGMFLB_00212	CDS	1521				hypothetical protein
KNDGMFLB_00213	CDS	1770				hypothetical protein
KNDGMFLB_00214	CDS	921				hypothetical protein
KNDGMFLB_00215	CDS	501				hypothetical protein
KNDGMFLB_00216	CDS	411				hypothetical protein
KNDGMFLB_00217	CDS	1218				hypothetical protein
KNDGMFLB_00218	CDS	192	yonK			SPbeta prophage-derived uncharacterized protein YonK
KNDGMFLB_00219	CDS	279	hup			DNA-binding protein HU
KNDGMFLB_00220	CDS	2520	yonO	2.7.7.6		DNA-directed RNA polymerase YonO
KNDGMFLB_00221	CDS	195				hypothetical protein
KNDGMFLB_00222	CDS	114				hypothetical protein
KNDGMFLB_00223	CDS	327	xre_1		COG1396	HTH-type transcriptional regulator Xre
KNDGMFLB_00224	CDS	612				hypothetical protein
KNDGMFLB_00225	CDS	189				hypothetical protein
KNDGMFLB_00226	CDS	1233				hypothetical protein
KNDGMFLB_00227	CDS	507				hypothetical protein
KNDGMFLB_00228	tRNA	75				tRNA-Gly(gcc)
KNDGMFLB_00229	tRNA	87				tRNA-Leu(cag)
KNDGMFLB_00230	tRNA	76				tRNA-Lys(ttt)
KNDGMFLB_00231	tRNA	76				tRNA-Thr(tgt)
KNDGMFLB_00232	tRNA	76				tRNA-Val(tac)
KNDGMFLB_00233	rRNA	73				5S ribosomal RNA (partial)
KNDGMFLB_00234	tRNA	77				tRNA-Pro(tgg)
KNDGMFLB_00235	tRNA	76				tRNA-Ala(tgc)
KNDGMFLB_00236	CDS	186				hypothetical protein
KNDGMFLB_00237	CDS	594	ydeA_1	3.2.-.-	COG0693	putative protease YdeA
KNDGMFLB_00238	CDS	201	cspC		COG1278	Cold shock protein CspC
KNDGMFLB_00239	CDS	462	carD		COG1329	RNA polymerase-binding transcription factor CarD
KNDGMFLB_00240	CDS	231				hypothetical protein
KNDGMFLB_00241	CDS	876	rhaS_1			HTH-type transcriptional activator RhaS
KNDGMFLB_00242	CDS	960	yicL		COG0697	putative inner membrane transporter YicL
KNDGMFLB_00243	CDS	873	rhaR_1			HTH-type transcriptional activator RhaR
KNDGMFLB_00244	CDS	1389	ptsJ		COG1167	Vitamin B6 salvage pathway transcriptional repressor PtsJ
KNDGMFLB_00245	CDS	1290	rfnT_1			Riboflavin transporter RfnT
KNDGMFLB_00246	CDS	375				hypothetical protein
KNDGMFLB_00247	CDS	594				hypothetical protein
KNDGMFLB_00248	CDS	660				hypothetical protein
KNDGMFLB_00249	CDS	864				hypothetical protein
KNDGMFLB_00250	CDS	1392	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
KNDGMFLB_00251	CDS	426				hypothetical protein
KNDGMFLB_00252	CDS	573	ydeN	3.-.-.-	COG3545	Putative hydrolase YdeN
KNDGMFLB_00253	CDS	330	hxlR_1		COG1733	HTH-type transcriptional activator HxlR
KNDGMFLB_00254	CDS	873				hypothetical protein
KNDGMFLB_00255	CDS	387	yybR_1		COG1733	putative HTH-type transcriptional regulator YybR
KNDGMFLB_00256	CDS	585	ywrO_1	1.6.99.-	COG2249	General stress protein 14
KNDGMFLB_00257	CDS	1188				hypothetical protein
KNDGMFLB_00258	CDS	597	tetR			DNA-binding transcriptional repressor TetR
KNDGMFLB_00259	CDS	336	aseR		COG0640	HTH-type transcriptional repressor AseR
KNDGMFLB_00260	CDS	1308	arsB_1		COG1055	Arsenical pump membrane protein
KNDGMFLB_00261	CDS	1725	ydaP		COG0028	Putative thiamine pyrophosphate-containing protein YdaP
KNDGMFLB_00262	CDS	450	rppH	3.6.1.-		RNA pyrophosphohydrolase
KNDGMFLB_00263	CDS	1824	kimA		COG0531	Potassium transporter KimA
KNDGMFLB_00264	CDS	2121				hypothetical protein
KNDGMFLB_00265	CDS	1263		2.4.1.336	COG1215	Beta-monoglucosyldiacylglycerol synthase
KNDGMFLB_00266	CDS	1731				hypothetical protein
KNDGMFLB_00267	CDS	852	dgcC	2.7.7.65		putative diguanylate cyclase DgcC
KNDGMFLB_00268	CDS	1089				hypothetical protein
KNDGMFLB_00269	CDS	2184	topB	5.6.2.1	COG0550	DNA topoisomerase 3
KNDGMFLB_00270	CDS	435	lrpC_1		COG1522	HTH-type transcriptional regulator LrpC
KNDGMFLB_00271	CDS	291				hypothetical protein
KNDGMFLB_00272	CDS	810	amj			Lipid II flippase Amj
KNDGMFLB_00273	CDS	423	ydaG		COG3871	General stress protein 26
KNDGMFLB_00274	CDS	552	ydaF	2.3.1.-	COG1670	Putative ribosomal N-acetyltransferase YdaF
KNDGMFLB_00275	CDS	504	ydaE	5.3.1.15	COG3822	putative D-lyxose ketol-isomerase
KNDGMFLB_00276	CDS	861	ydaD_1	1.-.-.-		General stress protein 39
KNDGMFLB_00277	CDS	597	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
KNDGMFLB_00278	CDS	1512	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
KNDGMFLB_00279	CDS	2085	mtlR			Transcriptional regulator MtlR
KNDGMFLB_00280	CDS	903	ydhF	1.-.-.-	COG4989	Oxidoreductase YdhF
KNDGMFLB_00281	CDS	2007	mrdA	3.4.16.4		Peptidoglycan D,D-transpeptidase MrdA
KNDGMFLB_00282	CDS	288				hypothetical protein
KNDGMFLB_00283	CDS	246				hypothetical protein
KNDGMFLB_00284	CDS	642	lipC_1	3.-.-.-	COG2755	Spore germination lipase LipC
KNDGMFLB_00285	CDS	756	kipR		COG1414	HTH-type transcriptional regulator KipR
KNDGMFLB_00286	CDS	1008	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
KNDGMFLB_00287	CDS	723	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
KNDGMFLB_00288	CDS	792		4.2.1.-	COG4336	Putative hydro-lyase
KNDGMFLB_00289	CDS	1215	mntH_1			Divalent metal cation transporter MntH
KNDGMFLB_00290	CDS	774	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
KNDGMFLB_00291	CDS	750	ycsE	3.1.3.104		5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE
KNDGMFLB_00292	CDS	165				hypothetical protein
KNDGMFLB_00293	CDS	393	fabZ_1	4.2.1.59		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
KNDGMFLB_00294	CDS	609				hypothetical protein
KNDGMFLB_00295	CDS	426	sipU	3.4.21.89	COG0681	Signal peptidase I U
KNDGMFLB_00296	CDS	243				hypothetical protein
KNDGMFLB_00297	CDS	1059	dmlA	1.1.1.83	COG0473	D-malate dehydrogenase [decarboxylating]
KNDGMFLB_00298	CDS	1122	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
KNDGMFLB_00299	CDS	432	mtlF		COG2213	Mannitol-specific phosphotransferase enzyme IIA component
KNDGMFLB_00300	CDS	1437	mtlA			PTS system mannitol-specific EIICB component
KNDGMFLB_00301	CDS	354	ycnL			putative protein YcnL
KNDGMFLB_00302	CDS	573	ycnK		COG1349	HTH-type transcriptional repressor YcnK
KNDGMFLB_00303	CDS	1626	ycnJ		COG1276	Copper transport protein YcnJ
KNDGMFLB_00304	CDS	615	ycnI		COG4549	putative protein YcnI
KNDGMFLB_00305	CDS	786	gdh	1.1.1.47	COG1028	Glucose 1-dehydrogenase
KNDGMFLB_00306	CDS	864	glcU		COG4975	Glucose uptake protein GlcU
KNDGMFLB_00307	CDS	1389	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)]
KNDGMFLB_00308	CDS	1311	davT	2.6.1.48	COG0160	5-aminovalerate aminotransferase DavT
KNDGMFLB_00309	CDS	1440	gabR_2		COG1167	HTH-type transcriptional regulatory protein GabR
KNDGMFLB_00310	CDS	315				hypothetical protein
KNDGMFLB_00311	CDS	288	ycnE	1.-.-.-	COG1359	Putative monooxygenase YcnE
KNDGMFLB_00312	CDS	750	nfrA2	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
KNDGMFLB_00313	CDS	879				hypothetical protein
KNDGMFLB_00314	CDS	1419	farB			Fatty acid resistance protein FarB
KNDGMFLB_00315	CDS	954	yclQ		COG4607	Petrobactin-binding protein YclQ
KNDGMFLB_00316	CDS	759	yclP	7.2.2.-	COG4604	Petrobactin import ATP-binding protein YclP
KNDGMFLB_00317	CDS	948	yclO		COG4605	Petrobactin import system permease protein YclO
KNDGMFLB_00318	CDS	951	yclN		COG4606	Petrobactin import system permease protein YclN
KNDGMFLB_00319	CDS	1365	yclM	2.7.2.4	COG0527	Aspartokinase 3
KNDGMFLB_00320	CDS	114				hypothetical protein
KNDGMFLB_00321	CDS	123	phrC			Phosphatase RapC inhibitor
KNDGMFLB_00322	CDS	1149	rapF_1	3.1.-.-	COG0457	Response regulator aspartate phosphatase F
KNDGMFLB_00323	CDS	1419	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
KNDGMFLB_00324	CDS	684	srrA_1		COG0745	Transcriptional regulatory protein SrrA
KNDGMFLB_00325	CDS	1461				hypothetical protein
KNDGMFLB_00326	CDS	681	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
KNDGMFLB_00327	CDS	1122	yndE_1			Spore germination protein YndE
KNDGMFLB_00328	CDS	1224	gerBC_1			Spore germination protein B3
KNDGMFLB_00329	CDS	1635	gerBA_1			Spore germination protein B1
KNDGMFLB_00330	CDS	222				hypothetical protein
KNDGMFLB_00331	CDS	1755				hypothetical protein
KNDGMFLB_00332	CDS	1479	dtpT		COG3104	Di-/tripeptide transporter
KNDGMFLB_00333	CDS	846	pip	3.4.11.5		Proline iminopeptidase
KNDGMFLB_00334	CDS	465				hypothetical protein
KNDGMFLB_00335	CDS	228	bsdD			Protein BsdD
KNDGMFLB_00336	CDS	1422	bsdC	4.1.1.61	COG0043	Phenolic acid decarboxylase
KNDGMFLB_00337	CDS	615	bsdB	2.5.1.129	COG0163	putative UbiX-like flavin prenyltransferase
KNDGMFLB_00338	CDS	873	benM			HTH-type transcriptional regulator BenM
KNDGMFLB_00339	CDS	807	tcyA		COG0834	L-cystine-binding protein TcyA
KNDGMFLB_00340	CDS	705	tcyB		COG0765	L-cystine transport system permease protein TcyB
KNDGMFLB_00341	CDS	744	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
KNDGMFLB_00342	CDS	648				hypothetical protein
KNDGMFLB_00343	CDS	675	sfp	2.7.8.7	COG2091	4'-phosphopantetheinyl transferase Sfp
KNDGMFLB_00344	CDS	1335	gabR_3		COG1167	HTH-type transcriptional regulatory protein GabR
KNDGMFLB_00345	CDS	939				hypothetical protein
KNDGMFLB_00346	CDS	558				hypothetical protein
KNDGMFLB_00347	CDS	1227				hypothetical protein
KNDGMFLB_00348	CDS	729	srfAD	3.1.2.-	COG3208	Surfactin synthase thioesterase subunit
KNDGMFLB_00349	CDS	3828	srfAC		COG3319	Surfactin synthase subunit 3
KNDGMFLB_00350	CDS	3003	srfAB			Surfactin synthase subunit 2
KNDGMFLB_00351	CDS	540	csbB	2.4.-.-	COG0463	Putative glycosyltransferase CsbB
KNDGMFLB_00352	CDS	2586				hypothetical protein
